Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF C0G","C_0603_1608Metric",36.975000,-21.575000,90.000000,top
"C2","0.1uF","C_0603_1608Metric",32.850000,-21.750000,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",29.625000,-21.775000,90.000000,top
"C4","2.2uF C0G","C_0603_1608Metric",36.964056,-24.575000,-90.000000,top
"C5","10uF","C_0603_1608Metric",30.900000,-24.875000,-90.000000,top
"C6","18nF C0G","C_0402_1005Metric",21.670000,-27.370000,180.000000,top
"C7","2.2uF C0G","C_0603_1608Metric",36.939056,-27.575000,-90.000000,top
"C8","220pf C0G","C_0402_1005Metric",30.150000,-27.760000,180.000000,top
"C9","18nF C0G","C_0402_1005Metric",32.500000,-27.780000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",23.740000,-28.540000,0.000000,top
"C11","22uF 10V","C_0603_1608Metric",18.250000,-28.850000,90.000000,top
"C12","18nF C0G","C_0402_1005Metric",21.720000,-30.260000,180.000000,top
"C13","220pF C0G","C_0402_1005Metric",21.670000,-28.310000,180.000000,top
"C14","220pF C0G","C_0402_1005Metric",29.590000,-29.170000,90.000000,top
"C15","0.1uF","C_0603_1608Metric",18.250000,-34.975000,90.000000,top
"C16","0.1uF","C_0603_1608Metric",18.200000,-48.650000,90.000000,top
"C17","1nF","C_0402_1005Metric",31.700000,-53.711824,-90.000000,top
"C18","0.1uF","C_0603_1608Metric",27.870000,-54.600000,-90.000000,top
"C19","0.1uF","C_0603_1608Metric",18.200000,-54.825000,-90.000000,top
"C20","0.1uF","C_0402_1005Metric",31.490000,-55.136824,180.000000,top
"C21","2.2nf C0G","C_0402_1005Metric",30.775000,-56.066824,0.000000,top
"C22","0.1uF","C_0603_1608Metric",25.260000,-56.450000,180.000000,top
"C23","0.1uF","C_0603_1608Metric",18.150000,-62.275000,90.000000,top
"C24","0.1uF","C_0603_1608Metric",37.100000,-69.025000,-90.000000,top
"C25","0.01uF","C_0603_1608Metric",33.027760,-69.473704,90.000000,top
"C26","2u2","C_0603_1608Metric",21.725000,-69.498704,-90.000000,top
"C27","4u7","C_0603_1608Metric",23.975000,-70.698704,180.000000,top
"C28","220pF C0G","C_0402_1005Metric",31.870000,-30.600000,0.000000,top
"C29","220pF C0G","C_0402_1005Metric",25.580000,-31.120000,0.000000,top
"FB1","FerriteBead","L_0603_1608Metric",18.200000,-51.800000,-90.000000,top
"L1","L","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",26.825000,-69.386204,-90.000000,top
"R1","10k","R_0603_1608Metric",18.250000,-21.650000,-90.000000,top
"R2","10k","R_0603_1608Metric",18.250000,-24.650000,90.000000,top
"R3","47k","R_0603_1608Metric",33.750000,-24.750000,-90.000000,top
"R4","10k","R_0603_1608Metric",29.475000,-24.875000,90.000000,top
"R5","110k","R_0603_1608Metric",32.325000,-24.875000,-90.000000,top
"R6","20k","R_0402_1005Metric",21.690000,-26.440000,180.000000,top
"R7","10k","R_0402_1005Metric",23.610000,-26.440000,180.000000,top
"R8","50k","R_0402_1005Metric",30.140000,-26.830000,180.000000,top
"R9","560","R_0402_1005Metric",23.580000,-27.380000,180.000000,top
"R10","10k","R_0402_1005Metric",32.090000,-26.830000,0.000000,top
"R11","31k6","R_0402_1005Metric",31.660000,-29.170000,90.000000,top
"R12","20k","R_0402_1005Metric",32.700000,-29.170000,90.000000,top
"R13","31k6","R_0402_1005Metric",23.640000,-30.250000,0.000000,top
"R14","10k","R_0402_1005Metric",30.010000,-30.650000,180.000000,top
"R15","20k","R_0402_1005Metric",21.870000,-31.220000,180.000000,top
"R16","10k","R_0402_1005Metric",23.730000,-31.320000,180.000000,top
"R17","10","R_0603_1608Metric",18.250000,-31.900000,90.000000,top
"R18","220k","R_0603_1608Metric",33.550000,-32.125000,90.000000,top
"R19","10k","R_0603_1608Metric",18.200000,-39.225000,90.000000,top
"R20","270","R_0402_1005Metric",28.350000,-39.450000,180.000000,top
"R21","270","R_0402_1005Metric",31.000000,-39.460000,0.000000,top
"R22","10k","R_0603_1608Metric",18.200000,-42.425000,-90.000000,top
"R23","1k","R_0603_1608Metric",18.200000,-45.525000,90.000000,top
"R24","1k1","R_0402_1005Metric",30.700000,-53.736824,90.000000,top
"R25","1k1","R_0603_1608Metric",24.310000,-54.200000,90.000000,top
"R26","2k2","R_0603_1608Metric",25.810000,-54.200000,-90.000000,top
"R27","1k","R_0402_1005Metric",29.540000,-55.136824,0.000000,top
"R28","DNP","R_0603_1608Metric",18.150000,-58.750000,-90.000000,top
"R29","DNP","R_0603_1608Metric",18.150000,-65.275000,90.000000,top
"R30","47","R_0402_1005Metric",32.640000,-53.720000,-90.000000,top
"R31","22","R_0402_1005Metric",24.242719,-39.440000,0.000000,top
"R32","31k6","R_0402_1005Metric",21.700000,-29.290000,180.000000,top
"R33","31k6","R_0402_1005Metric",30.570000,-29.170000,-90.000000,top
"U2","TSV854IQ4T","QFN16_3X3_STM",26.849999,-28.552200,0.000000,top
"U3","SN74CB3T16211DGVR","DGV56-L",27.000000,-35.419400,90.000000,top
"U5","SN74CB3T16211DGVR","DGV56-L",28.025000,-61.075000,-90.000000,top
"Y1","ASE-49.152MHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",30.577760,-69.448704,90.000000,top
