Core: ddr3_mem_if_ddr3_emif_0_p0 - Instance: ddr3_inst|mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.795,0.798
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.692,--
"Core (Slow 1100mV 85C Model)",0.664,0.303
"Core Recovery/Removal (Slow 1100mV 85C Model)",9.77,0.859
"DQS vs CK (Slow 1100mV 85C Model)",0.594,0.699
"Postamble (Slow 1100mV 85C Model)",0.667,0.667
"Read Capture (Slow 1100mV 85C Model)",0.275,0.228
"Write (Slow 1100mV 85C Model)",0.276,0.276
"Address Command (Slow 1100mV 0C Model)",0.768,0.796
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.751,--
"Core (Slow 1100mV 0C Model)",0.853,0.347
"Core Recovery/Removal (Slow 1100mV 0C Model)",9.964,0.801
"DQS vs CK (Slow 1100mV 0C Model)",0.667,0.692
"Postamble (Slow 1100mV 0C Model)",0.654,0.654
"Read Capture (Slow 1100mV 0C Model)",0.287,0.24
"Write (Slow 1100mV 0C Model)",0.306,0.306
"Address Command (Fast 1100mV 85C Model)",0.875,0.911
"Bus Turnaround Time (Fast 1100mV 85C Model)",4.118,--
"Core (Fast 1100mV 85C Model)",2.416,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",12.712,0.305
"DQS vs CK (Fast 1100mV 85C Model)",0.85,0.904
"Postamble (Fast 1100mV 85C Model)",0.878,0.878
"Read Capture (Fast 1100mV 85C Model)",0.489,0.442
"Write (Fast 1100mV 85C Model)",0.439,0.439
"Address Command (Fast 1100mV 0C Model)",0.844,0.928
"Bus Turnaround Time (Fast 1100mV 0C Model)",4.121,--
"Core (Fast 1100mV 0C Model)",2.441,0.142
"Core Recovery/Removal (Fast 1100mV 0C Model)",12.825,0.275
"DQS vs CK (Fast 1100mV 0C Model)",0.841,0.921
"Postamble (Fast 1100mV 0C Model)",0.896,0.896
"Read Capture (Fast 1100mV 0C Model)",0.493,0.446
"Write (Fast 1100mV 0C Model)",0.446,0.446
